Time,P0PX,P0PY,P0PZ,P0RX,P0RY,P0RZ,P0LPX,P0LPY,P0LPZ,P0LRX,P0LRY,P0LRZ,P0RPX,P0RPY,P0RPZ,P0RRX,P0RRY,P0RRZ,P0M,P1PX,P1PY,P1PZ,P1RX,P1RY,P1RZ,P1LPX,P1LPY,P1LPZ,P1LRX,P1LRY,P1LRZ,P1RPX,P1RPY,P1RPZ,P1RRX,P1RRY,P1RRZ,P1M,P2PX,P2PY,P2PZ,P2RX,P2RY,P2RZ,P2LPX,P2LPY,P2LPZ,P2LRX,P2LRY,P2LRZ,P2RPX,P2RPY,P2RPZ,P2RRX,P2RRY,P2RRZ,P2M
8.592891,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.609555,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.626275,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.642939,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.659602,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.676313,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.692978,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.709667,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.726361,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.743025,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
